				Smoothed Y1	Smoothed Y2
			          	10 pts AAv smooth of B	10 pts AAv smooth of "Smoothed Y1"
344.991	-5294.51	344.991	-5418.58	124.07	124.07
345.205	-5294.51	345.205	-5418.58	124.07	121.613333333333
345.419	-5294.51	345.419	-5418.58	116.7	97.995365079365
345.633	-5274.03	345.633	-5402.2	53.8557142857143	87.1743516800659
345.847	-5312.94	345.847	-5396.06	71.2811111111111	78.7217684784351
346.061	-363	346.061	-265.89	55.0018181818182	67.0464882592155
346.275	794.1	346.275	903.5	65.2418181818182	56.5699593335957
346.489	-1231.34	346.489	-1332.89	62.8218181818183	47.5828518955792
346.703	-68.09	346.703	-231.08	35.4536363636365	38.3517775154139
346.917	-1915.36	346.917	-1734.29	22.4209090909092	33.3104315886134
347.131	1230.32	347.131	1085.76	6.59454545454549	28.42826446281
347.345	-649.72	347.345	-886.43	8.82818181818186	24.2135537190083
347.559	-784.88	347.559	-882.33	25.2118181818182	16.749173553719
347.773	1324.52	347.773	1501.5	15.1581818181818	9.69099173553723
347.986	-90.62	347.986	-75.43	-1.59909090909088	7.42264462809921
348.2	3010	348.2	3100.97	17.5772727272728	6.62685950413226
348.414	-1255.92	348.414	-1183.38	8.64000000000003	8.72545454545457
348.628	-619	348.628	-689.82	-16.8663636363636	12.3642975206612
348.842	-1008.11	348.842	-999.07	-14.8181818181818	12.8551239669422
349.056	-1227.25	349.056	-1205.91	10.5018181818182	15.7154545454546
349.269	415.23	349.269	385.36	13.6672727272728	19.6761157024794
349.483	1316.33	349.483	1270.08	29.6790909090909	22.1304132231405
349.697	1469.93	349.697	1513.79	48.8554545454546	25.3464462809918
349.911	1410.54	349.911	1290.56	30.6109090909091	31.4397520661157
350.125	-1014.26	350.125	-1115.8	46.6218181818182	36.6190082644628
350.338	445.95	350.338	426.32	41.9681818181818	39.0225619834711
350.552	998.9	350.552	913.74	44.5745454545455	42.2046280991736
350.766	-582.14	350.766	-720.54	44.0163636363637	42.7971074380165
