Independent Variable,Fit Peak 1,Fit Peak 2,Fit Peak 3,Fit Peak 4,Fit Peak 5,Fit Peak 6,Fit Peak 7,Fit Peak 8,Fit Peak 9,Fit Peak 10,Fit Peak 11,Fit Peak 12,Fit Peak 13,Fit Peak 14,Fit Peak 15,Fit Peak 16,Fit Peak 17,Fit Peak 18,Fit Peak 19,Fit Peak 20,Fit Peak 21,Fit Peak 22,Fit Peak 23,Cumulative Fit Peak,Independent Variable,Regular Residual E"Smoothed Y1",Regular Residual E"Smoothed Y1",Fitted Y,Regular Residual E"Smoothed Y1",Regular Residual E"Smoothed Y1",Percentiles,Reference X,Reference Line
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mu = -0.111565,sigma = 159.985562
344.991,-85.8543667466127,-85.8543716390817,-85.7273900990169,-85.6897124560135,-85.9822795320936,-85.7985961219781,-85.6863606352105,-85.6213134075047,-85.6869051434896,-85.7150352561604,-85.7405061014987,-85.7607989859403,-85.7665983256298,-85.7792696956602,-85.784324265713,-85.7932239769908,-85.8371817571136,-85.7990445482645,-85.8324875841704,-85.8543716390817,-85.8543716390817,-85.85437088774,-85.8076652891572,-84.2843696734058,344.991,208.354369673405,208.354369673405,-84.2843696734058,208.354369673405,-1186.33494155706,0.0171315014047831,-601.328391513647,0.00856575070239156
345.758857619577,-85.8543667281293,-85.8543716390817,-85.7269363235145,-85.6891337177381,-85.9827474641258,-85.7984046211964,-85.6857947011297,-85.6205392860606,-85.6863550813135,-85.7145828170226,-85.7401406627755,-85.7605024610112,-85.7663221591396,-85.7790349284132,-85.7841077943738,-85.7930370995169,-85.8371299863044,-85.7988803440345,-85.8324241789101,-85.8543716390817,-85.8543716390817,-85.8543708856511,-85.8075283430797,-84.2792784408878,345.205,208.352953244168,208.352953244168,-84.2829532441694,208.352953244168,-1184.11272667178,0.0445419036524361,601.105262111069,99.9914342492976
346.526715239155,-85.8543667095408,-85.8543716390817,-85.7264801109872,-85.6885519229539,-85.9832180075819,-85.7982121323978,-85.6852259025646,-85.6197613011307,-85.6858023044818,-85.7141281705484,-85.7397734619263,-85.760204524306,-85.7660446870805,-85.7787990586108,-85.7838903180102,-85.7928493640124,-85.8370779812469,-85.7987154076845,-85.8323604976719,-85.8543716390817,-85.8543716390817,-85.8543708835534,-85.8073907937973,-84.2741623975353,345.419,200.981534896805,200.981534896805,-84.2815348968049,200.981534896805,-1183.90084235653,0.0719523059000891,,
347.294572858732,-85.8543666908467,-85.8543716390817,-85.7260214439509,-85.6879670501,-85.9836911822208,-85.7980186487733,-85.6846542201497,-85.6189794269623,-85.6852467951016,-85.7136713023552,-85.7394044876035,-85.7599051668483,-85.7657659012092,-85.7785620793383,-85.783671830391,-85.7926607652165,-85.8370257405256,-85.7985497348557,-85.8322965388518,-85.8543716390817,-85.8543716390817,-85.8543708814469,-85.8072526377621,-84.2690213819569,345.633,138.135828913564,138.135828913564,-84.2801146278498,138.135828913564,-1181.86994647782,0.0993627081477421,,
348.062430478309,-85.854366672046,-85.8543716390817,-85.7255603047642,-85.6873790774251,-85.9841670079913,-85.7978241634554,-85.6840796343557,-85.6181936375876,-85.684688535132,-85.7132121979431,-85.7390337283679,-85.7596043795899,-85.7654857932172,-85.7783239836264,-85.7834523252369,-85.7924712978276,-85.8369732627144,-85.7983833211566,-85.8322323008341,-85.8543716390817,-85.8543716390817,-85.8543708793316,-85.8071138714002,-84.2638552314506,345.847,155.559803544945,155.559803544945,-84.2786924338327,155.559803544945,-1180.77838046997,0.126773110395395,,
348.830288097887,-85.8543666531379,-85.8543716390817,-85.725096675627,-85.6867879829855,-85.9846455050342,-85.7976286695172,-85.6835021254874,-85.6174039068219,-85.6841275063831,-85.7127508426934,-85.7386611726878,-85.7593021534107,-85.7652043547305,-85.778084764451,-85.7832317962193,-85.7922809565038,-85.8369205463763,-85.7982161621629,-85.8321677819912,-85.8543716390817,-85.8543716390817,-85.8543708772075,-85.8069744911113,-84.2586637819875,346.061,139.279086493094,139.279086493094,-84.2772683112757,139.279086493094,-1180.37265175774,0.154183512643048,,
349.598145717464,-85.8543666341216,-85.8543716390817,-85.7246305385787,-85.6861937446429,-85.9851266936848,-85.7974321599715,-85.6829216736825,-85.6166102082611,-85.6835636905144,-85.7122872218683,-85.7382868089384,-85.7589984791176,-85.7649215773085,-85.7778444147328,-85.7830102369607,-85.7920897358618,-85.8368675900635,-85.7980482534174,-85.8321029806837,-85.8543716390817,-85.8543716390817,-85.8543708750744,-85.8068344932682,-84.2534468682006,346.275,149.51766043851,149.51766043851,-84.2758422566906,149.51766043851,-1179.60927329927,0.181593914890701,,
350.366003337041,-85.8543666149963,-85.8543716390817,-85.7241618754964,-85.6855963400626,-85.9856105944748,-85.7972346277709,-85.6823382589097,-85.6158125152796,-85.6829970690333,-85.7118213206086,-85.7379106254007,-85.758693347444,-85.7646374524434,-85.7776029273364,-85.7827876410338,-85.7918976304768,-85.836814392317,-85.7978795904295,-85.8320378952603,-85.8543716390817,-85.8543716390817,-85.8543708729324,-85.8066938742173,-84.2482043233715,346.489,147.096232448403,147.096232448403,-84.2744142665845,147.096232448403,-1174.41038947847,0.209004317138354,,
351.133860956618,-85.8543665957612,-85.8543716390817,-85.7236906680932,-85.684995746711,-85.9860972281348,-85.7970360658066,-85.681751860967,-85.6150108010282,-85.6824276232935,-85.7113531239335,-85.7375326102604,-85.7583867490492,-85.7643519715599,-85.7773602950705,-85.7825640019609,-85.7917046348822,-85.8367609516669,-85.7977101686749,-85.8319725240575,-85.8543716390817,-85.8543716390817,-85.8543708707813,-85.8065526302776,-84.242935979418,346.703,119.72662070109,119.72662070109,-84.2729843374545,119.72662070109,-1172.02421797747,0.236414719386007,,
