Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																										mu = -0.111440	sigma = 167.090771
344.991	-81.1676166908107	-81.1676166908107	-80.7958140238655	-81.1417668090312	-81.1207751547272	-81.1676137554822	-81.0456332479857	-81.1084694058445	-81.1416928469159	-81.1429185332543	-81.1293676689801	-81.1675724632695	-81.0853712190549	-81.122750055028	-81.1676166908107	-81.1676166908107	-81.1676113640457	-80.3259562577559	344.991	204.395956257755	204.395956257755	-80.3259562577559	204.395956257755	-1189.51787503346	0.0171315014047831	-628.029247526746	0.00856575070239156
345.758857619577	-81.1676166908107	-81.1676166908107	-80.7945387866631	-81.141679790124	-81.1206196590939	-81.1676137459061	-81.0452420883092	-81.10828184454	-81.1416119670969	-81.1428421673821	-81.1292507534511	-81.1675723298853	-81.0851271343725	-81.1226189578335	-81.1676166908107	-81.1676166908107	-81.1676113492337	-80.3232102841625	345.205	204.395192313794	204.395192313794	-80.3251923137948	204.395192313794	-1187.29009052676	0.0445419036524361	627.806368311802	99.9914342492976
346.526715239155	-81.1676166908107	-81.1676166908107	-80.7932569770823	-81.141592331041	-81.1204633878016	-81.1676137362831	-81.0448490439381	-81.1080933895391	-81.1415307081157	-81.1427654467201	-81.1291333009829	-81.1675721958967	-81.0848819614366	-81.1224872851292	-81.1676166908107	-81.1676166908107	-81.1676113343599	-80.3204508085978	345.419	197.024427326056	197.024427326056	-80.3244273260564	197.024427326056	-1187.08932392152	0.0719523059000891		
347.294572858732	-81.1676166908107	-81.1676166908107	-80.7919685498797	-81.1415044288084	-81.1203063356823	-81.1676137266128	-81.0444541027439	-81.1079040351542	-81.1414490675981	-81.1426883690665	-81.1290153082822	-81.1675720613001	-81.0846356937681	-81.1223550335412	-81.1676166908107	-81.1676166908107	-81.1676113194238	-80.3176777421327	345.633	134.179375578346	134.179375578346	-80.3236612926319	134.179375578346	-1185.0510298053	0.0993627081477421		
348.062430478309	-81.1676166908107	-81.1676166908107	-80.7906734594218	-81.1414160804268	-81.1201484975246	-81.1676137168949	-81.0440572525002	-81.1077137756524	-81.1413670431514	-81.1426109322028	-81.1288967720307	-81.1675719260917	-81.0843883248391	-81.1222221996705	-81.1676166908107	-81.1676166908107	-81.1676113044252	-80.3148909951033	345.847	151.604005322721	151.604005322721	-80.3228942116095	151.604005322721	-1183.94826434107	0.126773110395395		
348.830288097887	-81.1676166908107	-81.1676166908107	-80.7893716596809	-81.1413272828717	-81.1199898680737	-81.1676137071292	-81.043658480882	-81.1075226052551	-81.1412846323641	-81.142533133893	-81.128777688884	-81.1675717902678	-81.0841398480734	-81.1220887800934	-81.1676166908107	-81.1676166908107	-81.1676112893636	-80.3120904771035	346.061	135.32394426289	135.32394426289	-80.3221260810719	135.32394426289	-1183.5574409666	0.154183512643048		
349.598145717464	-81.1676166908107	-81.1676166908107	-80.7880631042316	-81.1412380330928	-81.1198304420308	-81.1676136973153	-81.0432577754647	-81.1073305181375	-81.1412018328056	-81.1424549718838	-81.1286580554725	-81.1675716538248	-81.0838902568455	-81.121954771361	-81.1676166908107	-81.1676166908107	-81.1676112742388	-80.3092760969762	346.275	145.563175080917	145.563175080917	-80.3213568990989	145.563175080917	-1179.22786842175	0.181593914890701		
350.366003337041	-81.1676166908107	-81.1676166908107	-80.7867477462457	-81.1411483280139	-81.1196702140524	-81.1676136874529	-81.042855123723	-81.1071375084282	-81.1411186420264	-81.1423764439043	-81.1285378684002	-81.1675715167587	-81.0836395444803	-81.1218201699987	-81.1676166908107	-81.1676166908107	-81.1676112590504	-80.3064477628063	346.489	143.142404845582	143.142404845582	-80.3205866637638	143.142404845582	-1177.59702208179	0.209004317138354		
351.133860956618	-81.1676166908107	-81.1676166908107	-80.785425538489	-81.1410581645326	-81.1195091787506	-81.1676136775416	-81.0424505130301	-81.1069435702086	-81.1410350575574	-81.1422975476656	-81.1284171242451	-81.1675713790659	-81.0833877042526	-81.1216849725065	-81.1676166908107	-81.1676166908107	-81.167611243798	-80.3036053819151	346.703	115.773451736774	115.773451736774	-80.3198153731378	115.773451736774	-1175.19598153139	0.236414719386007		
351.901718576196	-81.1676166908107	-81.1676166908107	-80.7840964333163	-81.1409675395199	-81.1193473306917	-81.1676136675812	-81.0420439306566	-81.1067486975127	-81.1409510769102	-81.1422182808613	-81.1282958195586	-81.1675712407425	-81.0831347293867	-81.1215491753585	-81.1676166908107	-81.1676166908107	-81.1676112284813	-80.3007488608489	346.917	102.739952116195	102.739952116195	-80.3190430252857	102.739952116195	-1171.83419982334	0.26382512163366		
352.669576195773	-81.1676166908107	-81.1676166908107	-80.7827603826676	-81.1408764498202	-81.1191846643965	-81.1676136575714	-81.0416353637696	-81.1065528843262	-81.1408666975766	-81.1421386411666	-81.1281739508655	-81.1675711017846	-81.0828806130561	-81.1214127750026	-81.1676166908107	-81.1676166908107	-81.1676112130998	-80.2978781053748	347.131	86.9128150728138	86.9128150728138	-80.3182696182687	86.9128150728138	-1170.16735049343	0.291235523881313		
353.43743381535	-81.1676166908107	-81.1676166908107	-80.7814173380633	-81.1407848922509	-81.1190211743395	-81.1676136475117	-81.0412247994315	-81.1063561245869	-81.1407819170285	-81.1420586262386	-81.1280515146633	-81.1675709621884	-81.0826253483826	-81.1212757678603	-81.1676166908107	-81.1676166908107	-81.1676111976533	-80.2949930204702	347.345	89.1456769683257	89.1456769683257	-80.3174951501442	89.1456769683257	-1164.69081132928	0.318645926128966		
354.205291434928	-81.1676166908107	-81.1676166908107	-80.7800672506005	-81.1406928636021	-81.1188568549483	-81.1676136374018	-81.0408122245991	-81.106158412183	-81.1406967327179	-81.1419782337157	-81.1279285074227	-81.1675708219499	-81.0823689284363	-81.1211381503268	-81.1676166908107	-81.1676166908107	-81.1676111821414	-80.2920935103164	347.559	105.528537800781	105.528537800781	-80.3167196189634	105.528537800781	-1162.90325829313	0.346056328376619		
354.973149054505	-81.1676166908107	-81.1676166908107	-80.7787100709476	-81.140600360636	-81.1186917006035	-81.1676136272415	-81.0403976261225	-81.1059597409537	-81.1406111420763	-81.1418974612181	-81.1278049255867	-81.1675706810653	-81.0821113462348	-81.12099991877	-81.1676166908107	-81.1676166908107	-81.1676111665636	-80.2891794782909	347.773	95.4741248409568	95.4741248409568	-80.3159430227747	95.4741248409568	-1148.70861271846	0.373466730624272		
355.741006674082	-81.1676166908107	-81.1676166908107	-80.7773457493406	-81.1405073800875	-81.1185257056379	-81.1676136170304	-81.0399809907443	-81.1057601046882	-81.1405251425148	-81.1418163063468	-81.1276807655704	-81.1675705395304	-81.0818525947432	-81.1208610695313	-81.1676166908107	-81.1676166908107	-81.1676111509197	-80.2862508269568	347.986	78.7160780869551	78.7160780869551	-80.3151689960459	78.7160780869551	-1145.00024380403	0.400877132871925		
