Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Fit Peak 18	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																											mu = 17.645232	sigma = 212.864956
344.991	-60.2217663286231	-60.3392127060186	-50.6410735455103	-60.0437843924003	-60.339212720504	-59.0191194475792	-60.3392117771974	-113.606802515322	-60.3389757199273	-60.1093763027893	-60.3244266199755	-60.2219501486027	-60.2383390267413	-60.2135876970423	-60.2641261042792	-60.339212720504	-60.2678777297174	-60.3100491166331	-101.411488370799	344.991	225.481488370799	225.481488370799	-101.411488370799	225.481488370799	-1171.06952242519	0.0171315014047831	-782.289411526321	0.00856575070239156
345.758857619577	-60.2213252550171	-60.3392127059648	-50.6389736971658	-60.0427320295864	-60.339212720504	-59.0145927647899	-60.3392117740595	-113.606823174623	-60.3389749609533	-60.1086451797827	-60.3243805534265	-60.2215874530577	-60.2380351482529	-60.2132155058774	-60.2639065033758	-60.339212720504	-60.2676769424306	-60.3099680543251	-101.401070895128	345.205	225.478588932268	225.478588932268	-101.408588932268	225.478588932268	-1170.70153599392	0.0445419036524361	817.579875822406	99.9914342492976
346.526715239155	-60.2208816919889	-60.3392127059107	-50.6368770920767	-60.0416740342351	-60.339212720504	-59.0100427587769	-60.3392117709058	-113.606843800343	-60.3389741983266	-60.1079105597689	-60.3243342712248	-60.2212230718795	-60.2377298943676	-60.2128416581376	-60.2636859375974	-60.339212720504	-60.2674753061686	-60.3098866535683	-101.390614597716	345.419	218.105686494058	218.105686494058	-101.405686494057	218.105686494058	-1168.48942855544	0.0719523059000891		
347.294572858732	-60.2204356207691	-60.3392127058562	-50.6347837325421	-60.0406103660823	-60.339212720504	-59.0054692690389	-60.3392117677363	-113.606864392481	-60.3389734320239	-60.1071724203923	-60.3242877720221	-60.2208569946047	-60.2374232567715	-60.2124661439769	-60.2634644012826	-60.339212720504	-60.2672728161385	-60.3098049124762	-101.380119196635	345.633	155.258495335834	155.258495335834	-101.40278105012	155.258495335834	-1168.25736877921	0.0993627081477421		
348.062430478309	-60.2199870224111	-60.3392127058015	-50.6326936208579	-60.0395409845037	-60.339212720504	-59.0008721336914	-60.339211764551	-113.606884951038	-60.3389726620214	-60.1064307391181	-60.3242410544595	-60.2204892106886	-60.2371152270876	-60.2120889534761	-60.2632418887284	-60.339212720504	-60.2670694675129	-60.3097228291488	-101.369584407536	345.847	172.680983705504	172.680983705504	-101.399872594393	172.680983705504	-1166.23989842013	0.126773110395395		
348.830288097887	-60.2195358777889	-60.3392127057465	-50.6306067593167	-60.0384658485106	-60.339212720504	-58.9962511894525	-60.3392117613496	-113.606905476013	-60.3389718882952	-60.1056854932307	-60.3241941171673	-60.2201197095045	-60.2368057968754	-60.211710076642	-60.2630183941899	-60.339212720504	-60.2668652554308	-60.3096404016729	-101.359009943627	346.061	156.398779302622	156.398779302622	-101.396961120804	156.398779302622	-1165.16865735219	0.154183512643048		
349.598145717464	-60.2190821675954	-60.3392127056911	-50.6285231502081	-60.0373849167463	-60.339212720504	-58.9916062716289	-60.3392117581321	-113.606925967407	-60.3389711108214	-60.104936659832	-60.3241469587653	-60.2197484803427	-60.2364949576304	-60.2113295034068	-60.26279391188	-60.339212720504	-60.2666601749963	-60.309557628122	-101.348395515646	346.275	166.635864805079	166.635864805079	-101.39404662326	166.635864805079	-1164.73587859621	0.181593914890701		
350.366003337041	-60.2186258723401	-60.3392127056354	-50.6264427958181	-60.0362981474816	-60.339212720504	-58.9869372141002	-60.3392117548984	-113.60694642522	-60.3389703295756	-60.1041842158395	-60.3240995778621	-60.21937551241	-60.2361827007835	-60.2109472236275	-60.2625684359685	-60.339212720504	-60.266454221279	-60.309474506556	-101.337740831835	346.489	164.212947277477	164.212947277477	-101.391129095658	164.212947277477	-1158.77027114424	0.209004317138354		
351.133860956618	-60.2181669723469	-60.3392127055794	-50.6243656984298	-60.0352054986115	-60.339212720504	-58.9822438493052	-60.3392117516484	-113.606966849451	-60.3389695445334	-60.1034281379847	-60.3240519730558	-60.2190007948288	-60.2358690177003	-60.2105632270852	-60.2623419605826	-60.339212720504	-60.2662473893134	-60.3093910350213	-101.327045597917	346.703	136.841844895516	136.841844895516	-101.388208531879	136.841844895516	-1156.49543114434	0.236414719386007		
351.901718576196	-60.2177054477522	-60.3392127055231	-50.6222918603229	-60.0341069276505	-60.339212720504	-58.9775260082258	-60.3392117483819	-113.6069872401	-60.3389687556702	-60.1026684028113	-60.324004142933	-60.218624316636	-60.2355538996804	-60.2101775034844	-60.2621144798056	-60.339212720504	-60.2660396740986	-60.3093072115503	-101.316309517066	346.917	123.806194016698	123.806194016698	-101.385284925789	123.806194016698	-1156.41108344063	0.26382512163366		
352.669576195773	-60.2172412785029	-60.3392127054665	-50.6202212837739	-60.0330023917286	-60.339212720504	-58.972783520373	-60.3392117450988	-113.607007597167	-60.3389679629611	-60.1019049866729	-60.3239560860693	-60.2182460667829	-60.2352373379571	-60.2097900424521	-60.2618859876774	-60.339212720504	-60.2658310705982	-60.3092230341619	-101.305532289884	347.131	107.976903725784	107.976903725784	-101.382358271238	107.976903725784	-1153.02831100285	0.291235523881313		
353.43743381535	-60.2167744443538	-60.3392127054096	-50.6181539710561	-60.0318918475875	-60.339212720504	-58.9680162137697	-60.3392117417991	-113.607027920653	-60.3389671663811	-60.1011378657319	-60.3239078010291	-60.2178660341337	-60.2349193236967	-60.2094008335376	-60.2616564781934	-60.339212720504	-60.2656215737397	-60.3091385008609	-101.294713614373	347.345	110.207610380248	110.207610380248	-101.379428562066	110.207610380248	-1151.37719658143	0.318645926128966		
354.205291434928	-60.2163049248656	-60.3392127053523	-50.6160899244395	-60.0307752515759	-60.339212720504	-58.9632239149376	-60.3392117384826	-113.607048210557	-60.3389663659049	-60.1003670159572	-60.3238592863653	-60.217484207465	-60.2345998479977	-60.2090098662114	-60.2614259453042	-60.339212720504	-60.2654111784143	-60.3090536096379	-101.283853185908	347.559	126.588313973912	126.588313973912	-101.376495792093	126.588313973912	-1144.10783278558	0.346056328376619		
