Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Fit Peak 18	Fit Peak 19	Fit Peak 20	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																													mu = -0.068995	sigma = 191.159419
344.991	-100.028477258333	-99.9860788033102	-100.030077980401	-100.014586289006	-99.8455009078058	-99.6157623305162	-99.7886994057325	-100.030077980401	-99.8316467930856	-99.7982988581147	-99.8863606885888	-99.7884162742661	-99.7642377775948	-99.8309748045075	-99.8361533463852	-99.2152667906224	-99.8170791043018	-99.6940724444638	-100.329181932906	-100.030077980401	-96.5895461231319	344.991	220.659546123132	220.659546123132	-96.5895461231319	220.659546123132	-1178.50218778594	0.0171315014047831	-718.435440086453	0.00856575070239156
345.758857619577	-100.028471243252	-99.9859154616377	-100.030077980401	-100.014530351195	-99.8448439922911	-99.6143012273445	-99.7878715256165	-100.030077980401	-99.8309871692877	-99.79753976774	-99.8858928506042	-99.7876423923265	-99.7633968117717	-99.8303585914452	-99.8355688472692	-99.2128507096525	-99.8164404942391	-99.6931093975965	-100.330027681873	-100.030077980401	-96.5785008287332	345.205	220.656473186586	220.656473186586	-96.586473186587	220.656473186586	-1176.01101541273	0.0445419036524361	718.297449426811	99.9914342492976
346.526715239155	-100.028465194195	-99.9857512086328	-100.030077980401	-100.014474109844	-99.8441835627203	-99.6128323819175	-99.7870393787161	-100.030077980401	-99.8303242502271	-99.7967769416608	-99.885422724264	-99.7868647871833	-99.7625518489148	-99.8297395129187	-99.8349817014618	-99.2104238657366	-99.815799006747	-99.6921422037534	-100.33087702257	-100.030077980401	-96.5674020150557	345.419	213.283396112452	213.283396112452	-96.5833961124515	213.283396112452	-1173.80319398643	0.0719523059000891		
347.294572858732	-100.028459110907	-99.9855860375031	-100.030077980401	-100.014417562754	-99.843519593979	-99.6113557394406	-99.7862029356586	-100.030077980401	-99.8296580139131	-99.796010355321	-99.8849502946183	-99.7860834349156	-99.7617028636527	-99.8291175511322	-99.8343918929585	-99.2079861948475	-99.8151546245061	-99.6911708390869	-100.331729975361	-100.030077980401	-96.5562493341458	345.633	150.436029178974	150.436029178974	-96.5803148932594	150.436029178974	-1173.56258145022	0.0993627081477421		
348.062430478309	-100.028452993127	-99.9854199413925	-100.030077980401	-100.014360707705	-99.8428520607277	-99.6098712446331	-99.7853621668176	-100.030077980401	-99.8289884381711	-99.7952399839623	-99.8844755465946	-99.7852983114096	-99.7608498304119	-99.8284926881514	-99.8337994056338	-99.2055376324811	-99.8145073300663	-99.6901952795775	-100.332586560753	-100.030077980401	-96.5450424352057	345.847	167.858340632639	167.858340632639	-96.5772295215279	167.858340632639	-1171.55080129488	0.126773110395395		
348.830288097887	-100.028446840595	-99.985252913381	-100.030077980401	-100.014303542455	-99.8421809374	-99.6083788417239	-99.7845170423114	-100.030077980401	-99.828315500641	-99.7944658026223	-99.8839984649972	-99.7845093923575	-99.7599927234159	-99.8278649059024	-99.8332042232399	-99.2030781136524	-99.813857105846	-99.6892155010326	-100.333446799401	-100.030077980401	-96.5337809645641	346.061	151.575958171574	151.575958171574	-96.5741399897563	151.575958171574	-1170.48818299503	0.154183512643048		
349.598145717464	-100.028440653046	-99.9850849464836	-100.030077980401	-100.014246064744	-99.8415061981995	-99.6068784744458	-99.7836675319994	-100.030077980401	-99.8276391787749	-99.7936877861324	-99.8835190345056	-99.7837166532552	-99.7591315166821	-99.8272341861703	-99.8326063294054	-99.2006075728905	-99.8132039341305	-99.6882314790848	-100.334310712105	-100.030077980401	-96.5224645656467	346.275	161.812864472246	161.812864472246	-96.5710462904281	161.812864472246	-1170.04393056363	0.181593914890701		
350.366003337041	-100.028434430216	-99.98491603365	-100.030077980401	-100.014188272291	-99.8408278170979	-99.6053700860302	-99.7828136054799	-100.030077980401	-99.8269594498359	-99.7929059091158	-99.8830372396732	-99.7829200694007	-99.7582661840209	-99.8266005105979	-99.8320057076348	-99.1981259442353	-99.8125477970709	-99.6872431891906	-100.335178319815	-100.030077980401	-96.5110928789466	346.489	159.389766597828	159.389766597828	-96.5679484160084	159.389766597828	-1164.07690545188	0.209004317138354		
351.133860956618	-100.028428171834	-99.9847461677631	-100.030077980401	-100.014130162793	-99.840145767832	-99.603853619202	-99.7819552320875	-100.030077980401	-99.8262762908955	-99.7921201459856	-99.8825530649263	-99.7821196158919	-99.7573966990329	-99.8259638606843	-99.8314023413065	-99.195633161232	-99.8118886766832	-99.6862506066288	-100.336049643629	-100.030077980401	-96.4996655419989	346.703	132.018482722584	132.018482722584	-96.5648463589478	132.018482722584	-1163.92399727756	0.236414719386007		
351.901718576196	-100.02842187763	-99.9845753416393	-100.030077980401	-100.014071733927	-99.8394600239015	-99.6023290161738	-99.7810923808899	-100.030077980401	-99.8255896788321	-99.7913304709423	-99.8820664945629	-99.7813152676248	-99.7565230351073	-99.8253242177837	-99.8307962136725	-99.1931291569274	-99.8112265548466	-99.6852537064989	-100.336924704797	-100.030077980401	-96.4881821893475	346.917	118.982649202585	118.982649202585	-96.561740111676	118.982649202585	-1161.72916113723	0.26382512163366		
352.669576195773	-100.028415547329	-99.9844035480268	-100.030077980401	-100.014012983348	-99.8387705585663	-99.6007962186407	-99.7802250206855	-100.030077980401	-99.8248995903289	-99.7905368579721	-99.881577512751	-99.7805069992914	-99.7556451654199	-99.8246815631039	-99.8301873078567	-99.190613863865	-99.8105614133024	-99.6842524637194	-100.33780352472	-100.030077980401	-96.4766424525185	347.131	103.153175121153	103.153175121153	-96.5586296666086	103.153175121153	-1158.3406471628	0.291235523881313		
353.43743381535	-100.028409180655	-99.9842307796054	-100.030077980401	-100.01395390869	-99.8380773448438	-99.5992551677746	-99.7793531200004	-100.030077980401	-99.8242060018718	-99.7897392808444	-99.8810861035277	-99.779694785378	-99.7547630629308	-99.824035877705	-99.8295756068537	-99.188087214081	-99.809893233653	-99.6832468530267	-100.338686124953	-100.030077980401	-96.4650459599852	347.345	105.383696834324	105.383696834324	-96.5555150161422	105.383696834324	-1156.69383625569	0.318645926128966		
