Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Cumulative Fit Peak	Independent Variable	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Fitted Y	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Percentiles	Reference X	Reference Line
																					mu = -0.027843	sigma = 188.204693
344.991	-115.554763434041	-115.554763149121	-115.387298190839	-113.818674965948	-113.954364083105	-114.430617968459	-114.935233565749	-115.447326443724	-115.425503521624	-115.554763434041	-115.554763434041	-115.554763434041	-110.070437850286	344.991	234.140437850285	234.140437850285	-110.070437850286	234.140437850285	-1154.99151078027	0.0171315014047831	-707.290591149202	0.00856575070239156
345.758857619577	-115.554763434041	-115.554763148073	-115.386702363633	-113.812726251355	-113.949051242258	-114.426945508137	-114.933311242255	-115.447001903903	-115.425119709273	-115.554763434041	-115.554763434041	-115.554763434041	-110.052277330602	345.205	231.678718954619	231.678718954619	-110.065385621286	231.678718954619	-1048.02089771594	0.0445419036524361	707.234906114668	99.9914342492976
346.526715239155	-115.554763434041	-115.554763147018	-115.386103350685	-113.806746910202	-113.943711900117	-114.423255008369	-114.931379951127	-115.446675890574	-115.424734184431	-115.554763434041	-115.554763434041	-115.554763434041	-110.034026304239	345.419	208.055691475383	208.055691475383	-110.060326396018	208.055691475383	-1043.91192502778	0.0719523059000891		
347.294572858732	-115.554763434041	-115.554763145958	-115.385501129242	-113.800736731895	-113.93834588012	-114.419546350723	-114.929439636457	-115.446348394799	-115.424346936893	-115.554763434041	-115.554763434041	-115.554763434041	-110.015684167803	345.633	197.229611841604	197.229611841604	-110.055260161538	197.229611841604	-1042.21617667644	0.0993627081477421		
348.062430478309	-115.554763434041	-115.554763144892	-115.384895676348	-113.794695504027	-113.932953004232	-114.415819415791	-114.927490241901	-115.446019407571	-115.423957956377	-115.554763434041	-115.554763434041	-115.554763434041	-109.997250312856	345.847	188.771955383306	188.771955383306	-110.050186904871	188.771955383306	-983.566184809268	0.126773110395395		
348.830288097887	-115.554763434041	-115.55476314382	-115.38428696884	-113.788623012359	-113.92753309293	-114.412074083184	-114.925531710676	-115.445688919816	-115.423567232525	-115.554763434041	-115.554763434041	-115.554763434041	-109.978724125865	346.061	177.091594872227	177.091594872227	-110.045106613012	177.091594872227	-940.329762900612	0.154183512643048		
349.598145717464	-115.554763434041	-115.554763142742	-115.383674983348	-113.782519040801	-113.922085965187	-114.408310231516	-114.92356398555	-115.445356922389	-115.423174754899	-115.554763434041	-115.554763434041	-115.554763434041	-109.960104988148	346.275	166.609978606522	166.609978606522	-110.040019272925	166.609978606522	-940.150293131112	0.181593914890701		
350.366003337041	-115.554763434041	-115.554763141658	-115.383059696291	-113.776383371393	-113.916611438461	-114.404527738399	-114.921587008847	-115.445023406078	-115.422780512987	-115.554763434041	-115.554763434041	-115.554763434041	-109.941392275828	346.489	157.617776767127	157.617776767127	-110.034924871547	157.617776767127	-937.704305079447	0.209004317138354		
351.133860956618	-115.554763434041	-115.554763140568	-115.382441083876	-113.770215784284	-113.911109328675	-114.400726480431	-114.919600722432	-115.444688361597	-115.422384496194	-115.554763434041	-115.554763434041	-115.554763434041	-109.922585359773	346.703	148.381600911196	148.381600911196	-110.029823395782	148.381600911196	-934.457153032377	0.236414719386007		
351.901718576196	-115.554763434041	-115.554763139472	-115.381819122095	-113.764016057717	-113.905579450203	-114.396906333188	-114.917605067718	-115.444351779592	-115.421986693848	-115.554763434041	-115.554763434041	-115.554763434041	-109.903683605549	346.917	143.335146421116	143.335146421116	-110.024714832503	143.335146421116	-930.354756509478	0.26382512163366		
352.669576195773	-115.554763434041	-115.554763138369	-115.381193786724	-113.757783968003	-113.900021615857	-114.393067171211	-114.915599985652	-115.444013650636	-115.421587095194	-115.554763434041	-115.554763434041	-115.554763434041	-109.884686373361	347.131	138.447863631364	138.447863631364	-110.019599168554	138.447863631364	-921.803486482997	0.291235523881313		
